category,category_url,title,year,technique,size,location,image_url,detail_url,raw_cells,artist_name,letter,works_url,year_clean,korszak
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Apám 1919 Olaj, vászon, 108 x 98 cm Magántulajdon",1919,"Olaj, vászon",108 x 98 cm,Magántulajdon,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano101.jpg,," | Apám 1919 Olaj, vászon, 108 x 98 cm Magántulajdon | 752*825 16 millió szín 88 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1919,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Idrányi Tibor arcképe 1919 Olaj, vászon, 140 x 70 cm Magántulajdon",1919,"Olaj, vászon",140 x 70 cm,Magántulajdon,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano102.jpg,," | Idrányi Tibor arcképe 1919 Olaj, vászon, 140 x 70 cm Magántulajdon | 585*1179 16 millió szín 143 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1919,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Férfi portré 1920 körül Olaj, karton, 71 x 58 cm Magántulajdon",1920,"Olaj, karton",71 x 58 cm,Magántulajdon,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano103.jpg,," | Férfi portré 1920 körül Olaj, karton, 71 x 58 cm Magántulajdon | 695*854 16 millió szín 85 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1920,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Önarckép 1920 Olaj, vászon, 83 x 59 cm Magántulajdon",1920,"Olaj, vászon",83 x 59 cm,Magántulajdon,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano104.jpg,," | Önarckép 1920 Olaj, vászon, 83 x 59 cm Magántulajdon | 628*900 16 millió szín 80 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1920,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Kompozíció (Eremiták) 1920 körül Olaj, lemezpapír, 46 x 66 cm Magántulajdon",1920,Olaj,46 x 66 cm,Magántulajdon,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano105.jpg,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/abano105.html," | Kompozíció (Eremiták) 1920 körül Olaj, lemezpapír, 46 x 66 cm Magántulajdon | 900*614 16 millió szín 116 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1920,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Barettes önarckép 1920 körül Olaj, vászon, 81 x 60 cm Magántulajdon",1920,"Olaj, vászon",81 x 60 cm,Magántulajdon,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano106.jpg,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/abano106.html," | Barettes önarckép 1920 körül Olaj, vászon, 81 x 60 cm Magántulajdon | 659*808 16 millió szín 67 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1920,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Akttanulmány 1921 Olaj, vászon, 88 x 49 cm Damjanich János Múzeum, Szolnok",1921,"Olaj, vászon",88 x 49 cm,,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano107.jpg,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/abano107.html," | Akttanulmány 1921 Olaj, vászon, 88 x 49 cm Damjanich János Múzeum, Szolnok | 489*900 16 millió szín 61 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1921,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Nõi akt (Akttanulmány) 1921 Olaj, vászon, 89 x 101,5 cm Galéria Umenia Nové Zámky, Érsekújvár",1921,"Olaj, vászon","89 x 101,5 cm",,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano108.jpg,," | Nõi akt (Akttanulmány) 1921 Olaj, vászon, 89 x 101,5 cm Galéria Umenia Nové Zámky, Érsekújvár | 785*696 16 millió szín 74 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1921,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Hátakt (Ülõ akt; Akttanulmány) 1920-21 körül Olaj, vászon, 88 x 120 cm Magántulajdon",1920,"Olaj, vászon",88 x 120 cm,Magántulajdon,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano109.jpg,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/abano109.html," | Hátakt (Ülõ akt; Akttanulmány) 1920-21 körül Olaj, vászon, 88 x 120 cm Magántulajdon | 900*654 16 millió szín 95 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1920,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Nõi aktok 1921 Olaj, vászon, 109 x 103 cm Magántulajdon",1921,"Olaj, vászon",109 x 103 cm,Magántulajdon,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano110.jpg,," | Nõi aktok 1921 Olaj, vászon, 109 x 103 cm Magántulajdon | 729*774 16 millió szín 138 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1921,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Park 1921 körül Olaj, vászon, 74 x 100,5 cm Városi Galéria, Érsekújvár",1921,"Olaj, vászon","74 x 100,5 cm",,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano111.jpg,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/abano111.html," | Park 1921 körül Olaj, vászon, 74 x 100,5 cm Városi Galéria, Érsekújvár | 970*647 16 millió szín 133 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1921,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Kovács János Dr. arcképe 1921 Olaj, vászon, 95 x 65 cm Magántulajdon",1921,"Olaj, vászon",95 x 65 cm,Magántulajdon,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano112.jpg,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/abano112.html," | Kovács János Dr. arcképe 1921 Olaj, vászon, 95 x 65 cm Magántulajdon | 664*930 16 millió szín 112 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1921,1901-1950
Festmények 1921-ig,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/index.html,"Aktok tájban 1921 Olaj, lemezpapír, kartonon, 52 x 38,5 cm Magyar Nemzeti Galéria, Budapest",1921,Olaj,"52 x 38,5 cm",Magyar Nemzeti Galéria,https://www.hung-art.hu/kep/a/aba_nova/muvek/1/abano113.jpg,https://www.hung-art.hu/magyar/a/aba_nova/muvek/1/abano113.html," | Aktok tájban 1921 Olaj, lemezpapír, kartonon, 52 x 38,5 cm Magyar Nemzeti Galéria, Budapest | 626*862 16 millió szín 158 Kb | ",ABA-NOVÁK Vilmos,A,https://www.hung-art.hu/magyar/a/aba_nova/muvek/index.html,1921,1901-1950
